Date,Adj Close,Close,High,Low,Open,Volume,GDP,CPI,industry_type,Company
8/16/2022,18.85485077,18.87899971,19.1420002,18.50099945,18.92000008,2302390,295.209,451240000,MANUFACTURE,NVIDIA
8/17/2022,18.31154633,18.33499908,18.68799973,18.14500046,18.52300072,2302390,295.209,446799000,MANUFACTURE,NVIDIA
8/18/2022,18.74898529,18.77300072,18.86499977,18.18300056,18.3010006,2302390,295.209,415447000,MANUFACTURE,NVIDIA
8/19/2022,17.82616997,17.84900093,18.52000046,17.77000046,18.40600014,2302390,295.209,441588000,MANUFACTURE,NVIDIA
8/22/2022,17.01221085,17.0340004,17.55800056,16.9659996,17.48999977,2302390,295.209,409593000,MANUFACTURE,NVIDIA
8/23/2022,17.15902138,17.18099976,17.46500015,16.96999931,16.98900032,2302390,295.209,369986000,MANUFACTURE,NVIDIA
8/24/2022,17.19996643,17.22200012,17.40600014,16.89500046,17.01199913,2302390,295.209,522661000,MANUFACTURE,NVIDIA
8/25/2022,17.89008713,17.91300011,17.9470005,16.83300018,16.84399986,2302390,295.209,770691000,MANUFACTURE,NVIDIA
8/26/2022,16.23919868,16.26000023,17.92399979,16.23699951,17.85700035,2302390,295.209,769127000,MANUFACTURE,NVIDIA
8/29/2022,15.78078556,15.80099964,16.33799934,15.7670002,16.02000046,2302390,295.209,496132000,MANUFACTURE,NVIDIA
8/30/2022,15.44821644,15.46800041,16.03899956,15.18200016,15.96000004,2302390,295.209,530181000,MANUFACTURE,NVIDIA
8/31/2022,15.07469082,15.09399986,15.53999996,14.95899963,15.38399982,2302390,295.209,573710000,MANUFACTURE,NVIDIA
9/1/2022,13.91917229,13.93700027,14.38000011,13.27000046,14.20899963,2302390,296.341,1178865000,MANUFACTURE,NVIDIA
9/2/2022,13.6295433,13.64700031,14.17099953,13.5909996,14.10000038,2302390,296.341,743157000,MANUFACTURE,NVIDIA
9/6/2022,13.44777584,13.46500015,13.77900028,13.35099983,13.73099995,2302390,296.341,535751000,MANUFACTURE,NVIDIA
9/7/2022,13.70052719,13.71399975,13.8380003,13.34599972,13.56299973,2302390,296.341,512657000,MANUFACTURE,NVIDIA
9/8/2022,13.97625542,13.98999977,14.00800037,13.36900043,13.45899963,2302390,296.341,624873000,MANUFACTURE,NVIDIA
9/9/2022,14.37286568,14.38700008,14.47399998,14.1260004,14.15699959,2302390,296.341,486612000,MANUFACTURE,NVIDIA
9/12/2022,14.49075127,14.50500011,14.54699993,14.19799995,14.36900043,2302390,296.341,484159000,MANUFACTURE,NVIDIA
9/13/2022,13.11809921,13.13099957,13.92199993,13.09899998,13.80200005,2302390,296.341,714956000,MANUFACTURE,NVIDIA
